date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:27	109455/109455	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:27%20GMT	https://01582192000.sandbox.beedigitalweb.com/	C:/My%20Web%20Sites/web/index-2.html	(from )
14:59:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Jun%202024%2012:59:27%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/web/gtm.15445.delayed	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:28	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2266603f82-13e%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/favicon.ico	C:/My%20Web%20Sites/web/assets/css/img/favicon.ico	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:28	30786/30786	---MCZ	200	added ('OK')	text/css	etag:W/%2266603f82-7842%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748	C:/My%20Web%20Sites/web/assets/css/grids9a31.css	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:28	1724/1724	---MCZ	200	added ('OK')	text/css	etag:W/%2266603f82-6bc%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/hcaptcha.css?1717583699748	C:/My%20Web%20Sites/web/assets/css/hcaptcha9a31.css	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:29	177465/177465	---MCZ	200	added ('OK')	text/css	etag:W/%2266603f82-2b539%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748	C:/My%20Web%20Sites/web/assets/css/style9a31.css	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:29	241286/241286	---MCZ	200	added ('OK')	text/css	etag:W/%2266603f82-3ae86%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/external-libs.css?1717583699748	C:/My%20Web%20Sites/web/assets/css/external-libs9a31.css	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:29	10201/10201	---MCZ	200	added ('OK')	text/css	etag:W/%2266603f82-27d9%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/ii/iframeStyle.css?1717583699748	C:/My%20Web%20Sites/web/assets/css/ii/iframeStyle9a31.css	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:30	253739/253739	---M--	200	added ('OK')	image/jpeg	etag:%22665a913f6dd373517b630eb75bc74e5f%22	https://01582192000.sandbox.beedigitalweb.com/uploads/ZlqRP23T/inicio1__msi___jpg.jpg	C:/My%20Web%20Sites/web/uploads/ZlqRP23T/inicio1__msi___jpg.jpg	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:30	109937/109937	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:30%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p9533	C:/My%20Web%20Sites/web/index1556.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:30	171078/171078	---M--	200	added ('OK')	image/png	etag:%220bdff76b98b63234e72b59bff2e89729%22	https://01582192000.sandbox.beedigitalweb.com/uploads/C93a5i2M/FONDOCLARO__msi___png.png	C:/My%20Web%20Sites/web/uploads/C93a5i2M/FONDOCLARO__msi___png.png	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:30	148921/148921	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:30%20GMT	https://01582192000.sandbox.beedigitalweb.com/serveis	C:/My%20Web%20Sites/web/serveis.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:31	114105/114105	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:30%20GMT	https://01582192000.sandbox.beedigitalweb.com/pressupost	C:/My%20Web%20Sites/web/pressupost.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:31	107656/107656	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:31%20GMT	https://01582192000.sandbox.beedigitalweb.com/coneix-nos	C:/My%20Web%20Sites/web/coneix-nos.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:31	108013/108013	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:31%20GMT	https://01582192000.sandbox.beedigitalweb.com/contacte	C:/My%20Web%20Sites/web/contacte.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:32	101726/101726	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:31%20GMT	https://01582192000.sandbox.beedigitalweb.com/copiargracias	C:/My%20Web%20Sites/web/copiargracias.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:32	101544/101544	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:32%20GMT	https://01582192000.sandbox.beedigitalweb.com/copiaraviso-legal	C:/My%20Web%20Sites/web/copiaraviso-legal.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:32	104533/104533	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:32%20GMT	https://01582192000.sandbox.beedigitalweb.com/copiarpolitica-de-privacidad	C:/My%20Web%20Sites/web/copiarpolitica-de-privacidad.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:33	114215/114215	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:32%20GMT	https://01582192000.sandbox.beedigitalweb.com/copiarpolitica-de-cookies	C:/My%20Web%20Sites/web/copiarpolitica-de-cookies.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:33	104984/104984	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:32%20GMT	https://01582192000.sandbox.beedigitalweb.com/copiardeclaracion-de-accesibilidad	C:/My%20Web%20Sites/web/copiardeclaracion-de-accesibilidad.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:33	109937/109937	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:33%20GMT	https://01582192000.sandbox.beedigitalweb.com/es	C:/My%20Web%20Sites/web/es.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:33	109479/109479	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:33%20GMT	https://01582192000.sandbox.beedigitalweb.com/en	C:/My%20Web%20Sites/web/en.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:34	149727/149727	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:33%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p5754	C:/My%20Web%20Sites/web/indexd49e.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:34	13497/13497	---M--	200	added ('OK')	image/gif	etag:%22e7a2ca0262d0c6ae46c1dafd6dc11bb5%22	https://01582192000.sandbox.beedigitalweb.com/uploads/56LKAmLQ/down-arrow-white-small.gif	C:/My%20Web%20Sites/web/uploads/56LKAmLQ/down-arrow-white-small.gif	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:34	166557/166557	---M--	200	added ('OK')	image/jpeg	etag:%2261ded305279f53c19abe8fd54053893a%22	https://01582192000.sandbox.beedigitalweb.com/uploads/Yd7TBSef/inicio2_425__msi___jpg.jpg	C:/My%20Web%20Sites/web/uploads/Yd7TBSef/inicio2_425__msi___jpg.jpg	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:34	113449/113449	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:34%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p5376	C:/My%20Web%20Sites/web/index287a.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:35	101315/101315	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:34%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p5035	C:/My%20Web%20Sites/web/index9a8e.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:35	104293/104293	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:35%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p9740	C:/My%20Web%20Sites/web/indexd0ca.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:35	113978/113978	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:35%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p6662	C:/My%20Web%20Sites/web/index9e5e.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:36	104738/104738	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2012:59:35%20GMT	https://01582192000.sandbox.beedigitalweb.com/?p=p8949	C:/My%20Web%20Sites/web/index0e13.html	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:36	1019/1019	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266603f82-3fb%22	https://01582192000.sandbox.beedigitalweb.com/assets/js/loader-polyfills.js?1717583699748	C:/My%20Web%20Sites/web/assets/js/loader-polyfills9a31.js	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:36	21205/21205	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266603f82-52d5%22	https://01582192000.sandbox.beedigitalweb.com/assets/js/loader.js?1717583699748	C:/My%20Web%20Sites/web/assets/js/loader9a31.js	(from https://01582192000.sandbox.beedigitalweb.com/)
14:59:36	109808/109808	---M--	200	added ('OK')	font/woff2	etag:%2266603f82-1acf0%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/web/assets/css/fonts/fa-brands-400.woff2	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:36	24488/24488	---M--	200	added ('OK')	font/woff2	etag:%2266603f82-5fa8%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/web/assets/css/fonts/fa-regular-400.woff2	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:37	150020/150020	---M--	200	added ('OK')	font/woff2	etag:%2266603f82-24a04%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/web/assets/css/fonts/fa-solid-900.woff2	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:37	4568/4568	---M--	200	added ('OK')	font/woff2	etag:%2266603f82-11d8%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-v4compatibility.woff2	C:/My%20Web%20Sites/web/assets/css/fonts/fa-v4compatibility.woff2	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:37	189684/189684	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-2e4f4%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/fa-brands-400.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:37	63348/63348	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-f774%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-regular-400.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/fa-regular-400.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:38	394668/394668	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-605ac%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/fa-solid-900.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:38	10172/10172	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-27bc%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fa-v4compatibility.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/fa-v4compatibility.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/grids.css?1717583699748)
14:59:38	7566/7566	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-1d8e%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/hcaptcha-badge.svg	C:/My%20Web%20Sites/web/assets/css/img/hcaptcha-badge.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/hcaptcha.css?1717583699748)
14:59:38	20356/20356	---M--	200	added ('OK')	image/png	etag:%2266603f82-4f84%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/hcaptcha-badge-tool.png	C:/My%20Web%20Sites/web/assets/css/img/hcaptcha-badge-tool.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/hcaptcha.css?1717583699748)
14:59:39	49416/49416	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-c108%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fontello.eot	C:/My%20Web%20Sites/web/assets/css/fonts/fontello.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:39	49416/49416	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-c108%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fontello.eot?	C:/My%20Web%20Sites/web/assets/css/fonts/fontellod41d.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:39	30792/30792	---M--	200	added ('OK')	font/woff	etag:%2266603f82-7848%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fontello.woff	C:/My%20Web%20Sites/web/assets/css/fonts/fontello.woff	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:39	49248/49248	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-c060%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fontello.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/fontello.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:39	83500/83500	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-1462c%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/fontello.svg	C:/My%20Web%20Sites/web/assets/css/fonts/fontello.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:40	23254/23254	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-5ad6%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-demibold-webfont.eot	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-demibold-webfont.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:40	23254/23254	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-5ad6%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-demibold-webfont.eot?	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-demibold-webfontd41d.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:40	26704/26704	---M--	200	added ('OK')	font/woff	etag:%2266603f82-6850%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-demibold-webfont.woff	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-demibold-webfont.woff	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:40	50864/50864	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-c6b0%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-demibold-webfont.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-demibold-webfont.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:41	89818/89818	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-15eda%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-demibold-webfont.svg	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-demibold-webfont.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:41	76564/76564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-12b14%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.eot	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfont.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:41	76564/76564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-12b14%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.eot?	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfontd41d.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:41	26968/26968	---M--	200	added ('OK')	font/woff	etag:%2266603f82-6958%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.woff	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfont.woff	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:41	19612/19612	---M--	200	added ('OK')	font/woff2	etag:%2266603f82-4c9c%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.woff2	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfont.woff2	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:42	76348/76348	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-12a3c%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfont.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:42	202268/202268	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-3161c%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-extrabold-webfont.svg	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-extrabold-webfont.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:42	22732/22732	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-58cc%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-regular-webfont.eot	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-regular-webfont.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:42	22732/22732	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266603f82-58cc%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-regular-webfont.eot?	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-regular-webfontd41d.eot	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:42	26096/26096	---M--	200	added ('OK')	font/woff	etag:%2266603f82-65f0%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-regular-webfont.woff	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-regular-webfont.woff	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:43	49936/49936	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2266603f82-c310%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-regular-webfont.ttf	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-regular-webfont.ttf	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:43	91457/91457	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-16541%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/fonts/nationale-regular-webfont.svg	C:/My%20Web%20Sites/web/assets/css/fonts/nationale-regular-webfont.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:43	18856/18856	---M--	200	added ('OK')	image/png	etag:%2266603f82-49a8%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/loading-2x.png	C:/My%20Web%20Sites/web/assets/css/img/loading-2x.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:43	7733/7733	---M--	200	added ('OK')	image/png	etag:%2266603f82-1e35%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/loading.png	C:/My%20Web%20Sites/web/assets/css/img/loading.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:44	1484/1484	---M--	200	added ('OK')	image/png	etag:%2266603f82-5cc%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/defaultImgPlaceholder.png	C:/My%20Web%20Sites/web/assets/css/img/defaultImgPlaceholder.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:45	2338/2338	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2019:15:00%20GMT	http://maps.gstatic.com/tactile/omnibox/reveal-entity-icons-20131112.png	C:/My%20Web%20Sites/web/tactile/omnibox/reveal-entity-icons-20131112.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:45	15806/15806	---M--	200	added ('OK')	image/png	etag:%2266603f82-3dbe%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/img/hcaptcha.png	C:/My%20Web%20Sites/web/assets/css/img/hcaptcha.png	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:45	5247/5247	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-147f%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/icons/accordd.svg	C:/My%20Web%20Sites/web/assets/css/icons/accordd.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
14:59:46	56452/56452	---M--	200	added ('OK')	image/svg+xml	etag:%2266603f82-dc84%22	https://01582192000.sandbox.beedigitalweb.com/assets/css/icons/ad.svg	C:/My%20Web%20Sites/web/assets/css/icons/ad.svg	(from https://01582192000.sandbox.beedigitalweb.com/assets/css/style.css?1717583699748)
